table_name,column_name,data_type,is_nullable,column_default,is_primary_key,is_unique,referenced_table,referenced_column
admins,admin_id,uuid,NO,NULL,PK,,null,null
admins,created_at,timestamp without time zone,YES,now(),,,null,null
admins,updated_at,timestamp without time zone,YES,now(),,,null,null
admins,user_id,uuid,YES,NULL,,,null,null
age_groups,age_group_id,smallint,NO,NULL,PK,UNIQUE,null,null
age_groups,age_group_en,text,YES,NULL,,,null,null
age_groups,age_group_tr,text,YES,NULL,,,null,null
app_subscription_payments,payment_id,uuid,NO,NULL,PK,,null,null
app_subscription_payments,amount,numeric,YES,NULL,,,null,null
app_subscription_payments,created_at,timestamp without time zone,YES,now(),,,null,null
app_subscription_payments,payment_date,date,YES,NULL,,,null,null
app_subscription_payments,status,text,YES,NULL,,,null,null
app_subscription_payments,subscription_id,uuid,YES,NULL,,,app_subscriptions,subscription_id
app_subscription_payments,subscription_id,uuid,YES,NULL,,,app_subscriptions,subscription_id
app_subscription_payments,updated_at,timestamp without time zone,YES,now(),,,null,null
app_subscriptions,subscription_id,uuid,NO,NULL,PK,,null,null
app_subscriptions,created_at,timestamp without time zone,YES,now(),,,null,null
app_subscriptions,end_date,date,YES,NULL,,,null,null
app_subscriptions,monthly_fee,numeric,YES,NULL,,,null,null
app_subscriptions,start_date,date,YES,NULL,,,null,null
app_subscriptions,status,text,YES,NULL,,,null,null
app_subscriptions,updated_at,timestamp without time zone,YES,now(),,,null,null
app_subscriptions,user_id,uuid,YES,NULL,,,null,null
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
athlete_coach,athlete_id,uuid,NO,NULL,PK,,athletes,athlete_id
