"table_name","column_name","data_type","nullable","column_default","primary_key","references_table","references_column","total_columns","policies_count","policy_names","triggers_count","trigger_names"
"admins","admin_id","uuid","NOT NULL","null","PK","null","null","4","0","","0",""
"admins","user_id","uuid","NULL","null","","users","id","4","0","","0",""
"admins","created_at","timestamp without time zone","NULL","now()","","null","null","4","0","","0",""
"admins","updated_at","timestamp without time zone","NULL","now()","","null","null","4","0","","0",""
"age_groups","age_group_id","uuid","NOT NULL","null","PK","null","null","2","0","","0",""
"age_groups","age_group_name","text","NULL","null","","null","null","2","0","","0",""
"app_subscription_payments","payment_id","uuid","NOT NULL","null","PK","null","null","7","0","","0",""
"app_subscription_payments","subscription_id","uuid","NULL","null","","app_subscriptions","subscription_id","7","0","","0",""
"app_subscription_payments","subscription_id","uuid","NULL","null","","app_subscriptions","subscription_id","7","0","","0",""
"app_subscription_payments","payment_date","date","NULL","null","","null","null","7","0","","0",""
"app_subscription_payments","amount","numeric","NULL","null","","null","null","7","0","","0",""
"app_subscription_payments","status","text","NULL","null","","null","null","7","0","","0",""
"app_subscription_payments","created_at","timestamp without time zone","NULL","now()","","null","null","7","0","","0",""
"app_subscription_payments","updated_at","timestamp without time zone","NULL","now()","","null","null","7","0","","0",""
"app_subscriptions","subscription_id","uuid","NOT NULL","null","PK","null","null","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","user_id","uuid","NULL","null","","users","id","8","0","","0",""
"app_subscriptions","start_date","date","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","end_date","date","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","monthly_fee","numeric","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","status","text","NULL","null","","null","null","8","0","","0",""
"app_subscriptions","created_at","timestamp without time zone","NULL","now()","","null","null","8","0","","0",""
"app_subscriptions","updated_at","timestamp without time zone","NULL","now()","","null","null","8","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","athlete_id","uuid","NOT NULL","null","PK","athletes","athlete_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
"athlete_coach","coach_id","uuid","NOT NULL","null","PK","coaches","coach_id","4","0","","0",""
